,screen_pixel_size,new_response_max,new_response_min,viewing_distance,image_height,image_width,target_orientation,flank_distance,num_flank,box_flank,offset,image,sigma,K,rms,rrms,resp.keys,resp.rt,expName,session,date,participant
72,0.282,100,0,22.0,600,600,1,0.2,1,0,10,herzog_01_0.2_01_00.png,0.8119026961336693,5.0,0.015273470099780508,0.008476227811516166,0,0,herzog,0,2019_Jun_16_1308,model
73,0.282,100,0,22.0,600,600,1,0.2,1,1,10,herzog_01_0.2_01_01.png,0.8119026961336693,5.0,0.024713106933790977,0.013950989124473134,0,0,herzog,0,2019_Jun_16_1308,model
74,0.282,100,0,22.0,600,600,1,0.2,2,0,10,herzog_01_0.2_02_00.png,0.8119026961336693,5.0,0.019716431074638923,0.011269725342202167,0,0,herzog,0,2019_Jun_16_1308,model
75,0.282,100,0,22.0,600,600,1,0.2,2,1,10,herzog_01_0.2_02_01.png,0.8119026961336693,5.0,0.03381027493762841,0.018620504217689664,0,0,herzog,0,2019_Jun_16_1308,model
76,0.282,100,0,22.0,600,600,1,0.2,3,0,10,herzog_01_0.2_03_00.png,0.8119026961336693,5.0,0.023326980616688434,0.013496679941795806,0,0,herzog,0,2019_Jun_16_1308,model
77,0.282,100,0,22.0,600,600,1,0.2,3,1,10,herzog_01_0.2_03_01.png,0.8119026961336693,5.0,0.04092630986915598,0.022334576719713752,0,0,herzog,0,2019_Jun_16_1308,model
78,0.282,100,0,22.0,600,600,1,0.25,1,0,10,herzog_01_0.25_01_00.png,0.8119026961336693,5.0,0.015273470099780508,0.008932536231515178,0,0,herzog,0,2019_Jun_16_1308,model
79,0.282,100,0,22.0,600,600,1,0.25,1,1,10,herzog_01_0.25_01_01.png,0.8119026961336693,5.0,0.024713106933790977,0.014228625358758136,0,0,herzog,0,2019_Jun_16_1308,model
80,0.282,100,0,22.0,600,600,1,0.25,2,0,10,herzog_01_0.25_02_00.png,0.8119026961336693,5.0,0.019716431074638923,0.011616600253221608,0,0,herzog,0,2019_Jun_16_1308,model
81,0.282,100,0,22.0,600,600,1,0.25,2,1,10,herzog_01_0.25_02_01.png,0.8119026961336693,5.0,0.03381027493762841,0.018829270353721908,0,0,herzog,0,2019_Jun_16_1308,model
82,0.282,100,0,22.0,600,600,1,0.25,3,0,10,herzog_01_0.25_03_00.png,0.8119026961336693,5.0,0.02332698061668843,0.013787641625933092,0,0,herzog,0,2019_Jun_16_1308,model
83,0.282,100,0,22.0,600,600,1,0.25,3,1,10,herzog_01_0.25_03_01.png,0.8119026961336693,5.0,0.04092630986915598,0.0225089218307038,0,0,herzog,0,2019_Jun_16_1308,model
84,0.282,100,0,22.0,600,600,1,0.3,1,0,10,herzog_01_0.3_01_00.png,0.8119026961336693,5.0,0.015273470099780504,0.009078296203537622,0,0,herzog,0,2019_Jun_16_1308,model
85,0.282,100,0,22.0,600,600,1,0.3,1,1,10,herzog_01_0.3_01_01.png,0.8119026961336693,5.0,0.024713106933790977,0.014304839634843846,0,0,herzog,0,2019_Jun_16_1308,model
86,0.282,100,0,22.0,600,600,1,0.3,2,0,10,herzog_01_0.3_02_00.png,0.8119026961336693,5.0,0.019716431074638927,0.011728999949819645,0,0,herzog,0,2019_Jun_16_1308,model
87,0.282,100,0,22.0,600,600,1,0.3,2,1,10,herzog_01_0.3_02_01.png,0.8119026961336693,5.0,0.03381027493762841,0.018886894511608705,0,0,herzog,0,2019_Jun_16_1308,model
88,0.282,100,0,22.0,600,600,1,0.3,3,0,10,herzog_01_0.3_03_00.png,0.8119026961336693,5.0,0.02332698061668843,0.013882474562729568,0,0,herzog,0,2019_Jun_16_1308,model
89,0.282,100,0,22.0,600,600,1,0.3,3,1,10,herzog_01_0.3_03_01.png,0.8119026961336693,5.0,0.04092630986915598,0.022557147962891204,0,0,herzog,0,2019_Jun_16_1308,model
90,0.282,100,0,22.0,600,600,1,0.35,1,0,10,herzog_01_0.35_01_00.png,0.8119026961336693,5.0,0.015273470099780504,0.009077979849925248,0,0,herzog,0,2019_Jun_16_1308,model
91,0.282,100,0,22.0,600,600,1,0.35,1,1,10,herzog_01_0.35_01_01.png,0.8119026961336693,5.0,0.024713106933790977,0.014291349183802073,0,0,herzog,0,2019_Jun_16_1308,model
92,0.282,100,0,22.0,600,600,1,0.35,2,0,10,herzog_01_0.35_02_00.png,0.8119026961336693,5.0,0.019716431074638923,0.011728744009492075,0,0,herzog,0,2019_Jun_16_1308,model
93,0.282,100,0,22.0,600,600,1,0.35,2,1,10,herzog_01_0.35_02_01.png,0.8119026961336693,5.0,0.03381027493762841,0.018876671714470408,0,0,herzog,0,2019_Jun_16_1308,model
94,0.282,100,0,22.0,600,600,1,0.35,3,0,10,herzog_01_0.35_03_00.png,0.8119026961336693,5.0,0.02332698061668843,0.013882258325004497,0,0,herzog,0,2019_Jun_16_1308,model
95,0.282,100,0,22.0,600,600,1,0.35,3,1,10,herzog_01_0.35_03_01.png,0.8119026961336693,5.0,0.04092630986915598,0.022548589200724185,0,0,herzog,0,2019_Jun_16_1308,model
96,0.282,100,0,22.0,600,600,1,0.4,1,0,10,herzog_01_0.4_01_00.png,0.8119026961336693,5.0,0.015273470099780506,0.009060715238654815,0,0,herzog,0,2019_Jun_16_1308,model
97,0.282,100,0,22.0,600,600,1,0.4,1,1,10,herzog_01_0.4_01_01.png,0.8119026961336693,5.0,0.024713106933790977,0.014275986789177521,0,0,herzog,0,2019_Jun_16_1308,model
98,0.282,100,0,22.0,600,600,1,0.4,2,0,10,herzog_01_0.4_02_00.png,0.8119026961336693,5.0,0.019716431074638923,0.011715384925503117,0,0,herzog,0,2019_Jun_16_1308,model
99,0.282,100,0,22.0,600,600,1,0.4,2,1,10,herzog_01_0.4_02_01.png,0.8119026961336693,5.0,0.03381027493762841,0.018865042701644665,0,0,herzog,0,2019_Jun_16_1308,model
100,0.282,100,0,22.0,600,600,1,0.4,3,0,10,herzog_01_0.4_03_00.png,0.8119026961336693,5.0,0.02332698061668843,0.013870973437890578,0,0,herzog,0,2019_Jun_16_1308,model
101,0.282,100,0,22.0,600,600,1,0.4,3,1,10,herzog_01_0.4_03_01.png,0.8119026961336693,5.0,0.04092630986915598,0.02253885480813088,0,0,herzog,0,2019_Jun_16_1308,model
102,0.282,100,0,22.0,600,600,1,2.0,1,0,10,herzog_01_2.0_01_00.png,0.8119026961336693,5.0,0.015273470099780504,0.008993664212928982,0,0,herzog,0,2019_Jun_16_1308,model
103,0.282,100,0,22.0,600,600,1,2.0,1,1,10,herzog_01_2.0_01_01.png,0.8119026961336693,5.0,0.024713106933790974,0.014225418769660065,0,0,herzog,0,2019_Jun_16_1308,model
104,0.282,100,0,22.0,600,600,1,2.0,2,0,10,herzog_01_2.0_02_00.png,0.8119026961336693,5.0,0.019716431074638923,0.011663603869856395,0,0,herzog,0,2019_Jun_16_1308,model
105,0.282,100,0,22.0,600,600,1,2.0,2,1,10,herzog_01_2.0_02_01.png,0.8119026961336693,5.0,0.03381027493762841,0.01882680406851498,0,0,herzog,0,2019_Jun_16_1308,model
106,0.282,100,0,22.0,600,600,1,2.0,3,0,10,herzog_01_2.0_03_00.png,0.8119026961336693,5.0,0.02332698061668843,0.013827267097835685,0,0,herzog,0,2019_Jun_16_1308,model
107,0.282,100,0,22.0,600,600,1,2.0,3,1,10,herzog_01_2.0_03_01.png,0.8119026961336693,5.0,0.04092630986915598,0.022506858762639,0,0,herzog,0,2019_Jun_16_1308,model
