,screen_pixel_size,new_response_max,new_response_min,viewing_distance,image_height,image_width,target_orientation,flank_distance,flank_orientation,gap,offset,image,sigma,K,rms,rrms,resp.keys,resp.rt,expName,session,date,participant
79,0.282,100,0,22.0,600,600,90,1.62,315,1,10,bex_90_1.62_315_01.png,0.8119026961336693,5.0,0.07644778706751235,0.022804546848488143,0,0,bex,0,2019_Jun_16_1308,model
80,0.282,100,0,22.0,600,600,90,2.58,45,0,10,bex_90_2.58_45_00.png,0.8119026961336693,5.0,0.08968797205132929,0.026592892111865565,0,0,bex,0,2019_Jun_16_1308,model
81,0.282,100,0,22.0,600,600,90,2.58,45,1,10,bex_90_2.58_45_01.png,0.8119026961336693,5.0,0.08765858057142914,0.026187578199904367,0,0,bex,0,2019_Jun_16_1308,model
82,0.282,100,0,22.0,600,600,90,2.58,135,0,10,bex_90_2.58_135_00.png,0.8119026961336693,5.0,0.08968797205132929,0.026592892111865565,0,0,bex,0,2019_Jun_16_1308,model
83,0.282,100,0,22.0,600,600,90,2.58,135,1,10,bex_90_2.58_135_01.png,0.8119026961336693,5.0,0.08764018575576135,0.026182594352722258,0,0,bex,0,2019_Jun_16_1308,model
84,0.282,100,0,22.0,600,600,90,2.58,225,0,10,bex_90_2.58_225_00.png,0.8119026961336693,5.0,0.08968797205132929,0.026592892111865565,0,0,bex,0,2019_Jun_16_1308,model
85,0.282,100,0,22.0,600,600,90,2.58,225,1,10,bex_90_2.58_225_01.png,0.8119026961336693,5.0,0.08765858057142913,0.026187578199904363,0,0,bex,0,2019_Jun_16_1308,model
86,0.282,100,0,22.0,600,600,90,2.58,315,0,10,bex_90_2.58_315_00.png,0.8119026961336693,5.0,0.08968797205132929,0.026592892111865565,0,0,bex,0,2019_Jun_16_1308,model
87,0.282,100,0,22.0,600,600,90,2.58,315,1,10,bex_90_2.58_315_01.png,0.8119026961336693,5.0,0.08766961534625248,0.0261918413908595,0,0,bex,0,2019_Jun_16_1308,model
88,0.282,100,0,22.0,600,600,90,3.9,45,0,10,bex_90_3.9_45_00.png,0.8119026961336693,5.0,0.10292920894293568,0.030588465051803463,0,0,bex,0,2019_Jun_16_1308,model
89,0.282,100,0,22.0,600,600,90,3.9,45,1,10,bex_90_3.9_45_01.png,0.8119026961336693,5.0,0.10118958662387807,0.030219413648161404,0,0,bex,0,2019_Jun_16_1308,model
90,0.282,100,0,22.0,600,600,90,3.9,135,0,10,bex_90_3.9_135_00.png,0.8119026961336693,5.0,0.10292920894293568,0.030588465051803463,0,0,bex,0,2019_Jun_16_1308,model
91,0.282,100,0,22.0,600,600,90,3.9,135,1,10,bex_90_3.9_135_01.png,0.8119026961336693,5.0,0.10117714255841265,0.030216047365564047,0,0,bex,0,2019_Jun_16_1308,model
92,0.282,100,0,22.0,600,600,90,3.9,225,0,10,bex_90_3.9_225_00.png,0.8119026961336693,5.0,0.10292920894293568,0.030588465051803463,0,0,bex,0,2019_Jun_16_1308,model
93,0.282,100,0,22.0,600,600,90,3.9,225,1,10,bex_90_3.9_225_01.png,0.8119026961336693,5.0,0.10118958662387807,0.0302194136481614,0,0,bex,0,2019_Jun_16_1308,model
94,0.282,100,0,22.0,600,600,90,3.9,315,0,10,bex_90_3.9_315_00.png,0.8119026961336693,5.0,0.10292920894293568,0.030588465051803463,0,0,bex,0,2019_Jun_16_1308,model
95,0.282,100,0,22.0,600,600,90,3.9,315,1,10,bex_90_3.9_315_01.png,0.8119026961336693,5.0,0.10119580796928974,0.030223282832704618,0,0,bex,0,2019_Jun_16_1308,model
96,0.282,100,0,22.0,600,600,180,-1.0,45,0,10,bex_180_-1_45_00.png,0.8119026961336693,5.0,0.036387092604352196,0.011046709185064953,0,0,bex,0,2019_Jun_16_1308,model
97,0.282,100,0,22.0,600,600,180,-1.0,45,1,10,bex_180_-1_45_01.png,0.8119026961336693,5.0,0.036387092604352196,0.011046709185064953,0,0,bex,0,2019_Jun_16_1308,model
98,0.282,100,0,22.0,600,600,180,-1.0,135,0,10,bex_180_-1_135_00.png,0.8119026961336693,5.0,0.036387092604352196,0.011046709185064953,0,0,bex,0,2019_Jun_16_1308,model
