,screen_pixel_size,new_response_max,new_response_min,viewing_distance,image_height,image_width,num_flank,flank_distance,target_orientation,flank_orientation,gap,offset,image,sigma,K,rms,rrms,resp.keys,resp.rt,expName,session,date,participant
83,0.282,100,0,22.0,600,600,1,0.9,180,135,1,10,pachai_01_0.9_180_135_01.png,0.8119026961336693,5.0,0.06629506702693634,0.019928951845223482,0,0,pachai,0,2019_Jun_16_1310,model
84,0.282,100,0,22.0,600,600,1,0.9,180,225,0,10,pachai_01_0.9_180_225_00.png,0.8119026961336693,5.0,0.06886596621949674,0.020420579055107507,0,0,pachai,0,2019_Jun_16_1310,model
85,0.282,100,0,22.0,600,600,1,0.9,180,225,1,10,pachai_01_0.9_180_225_01.png,0.8119026961336693,5.0,0.06632511365164585,0.019937230038096408,0,0,pachai,0,2019_Jun_16_1310,model
86,0.282,100,0,22.0,600,600,1,0.9,180,315,0,10,pachai_01_0.9_180_315_00.png,0.8119026961336693,5.0,0.06886596621949674,0.020420579055107507,0,0,pachai,0,2019_Jun_16_1310,model
87,0.282,100,0,22.0,600,600,1,0.9,180,315,1,10,pachai_01_0.9_180_315_01.png,0.8119026961336693,5.0,0.06635514563242094,0.01994504594429813,0,0,pachai,0,2019_Jun_16_1310,model
88,0.282,100,0,22.0,600,600,1,0.9,270,45,0,10,pachai_01_0.9_270_45_00.png,0.8119026961336693,5.0,0.0689428387005837,0.020447281109958134,0,0,pachai,0,2019_Jun_16_1310,model
89,0.282,100,0,22.0,600,600,1,0.9,270,45,1,10,pachai_01_0.9_270_45_01.png,0.8119026961336693,5.0,0.0664051664455953,0.019964069309740432,0,0,pachai,0,2019_Jun_16_1310,model
90,0.282,100,0,22.0,600,600,1,0.9,270,135,0,10,pachai_01_0.9_270_135_00.png,0.8119026961336693,5.0,0.0689428387005837,0.020447281109958134,0,0,pachai,0,2019_Jun_16_1310,model
91,0.282,100,0,22.0,600,600,1,0.9,270,135,1,10,pachai_01_0.9_270_135_01.png,0.8119026961336693,5.0,0.06637515882723498,0.019955839656812184,0,0,pachai,0,2019_Jun_16_1310,model
92,0.282,100,0,22.0,600,600,1,0.9,270,225,0,10,pachai_01_0.9_270_225_00.png,0.8119026961336693,5.0,0.0689428387005837,0.020447281109958134,0,0,pachai,0,2019_Jun_16_1310,model
